,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
26,Dikson,36,RU,1552707979,88,73.51,80.55,1.95,16.82
27,Busselton,20,AU,1552707909,30,-33.64,115.35,81.0,13.02
28,Katsuura,75,JP,1552706472,67,33.93,134.5,51.8,18.34
29,Barabai,88,ID,1552707983,93,-2.59,115.38,77.28,2.95
30,Punta Arenas,20,CL,1552707789,93,-53.16,-70.91,46.4,12.75
31,Port Elizabeth,90,US,1552707971,55,39.31,-74.98,64.99,9.17
32,Cabo San Lucas,90,MX,1552707602,77,22.89,-109.91,68.0,5.75
33,Uray,88,RU,1552707987,80,60.13,64.8,20.76,14.14
34,Ushuaia,20,AR,1552705200,76,-54.81,-68.31,50.0,12.75
35,Ust-Tsilma,48,RU,1552707990,86,65.44,52.15,13.56,6.2
36,Rafaela,48,AR,1552707974,70,-31.25,-61.49,69.01,6.98
37,Duque de Caxias,75,BR,1552707256,100,-22.79,-43.31,79.0,3.36
38,Byron Bay,75,AU,1552707853,100,-28.65,153.62,73.99,8.05
39,Manaia,48,NZ,1552705352,66,-39.55,174.12,72.0,8.99
40,Panama City,20,US,1552707950,68,30.16,-85.65,66.0,6.93
41,Ribeira Grande,88,PT,1552707997,95,38.52,-28.7,61.62,20.4
42,Bredasdorp,100,ZA,1552707964,94,-34.53,20.04,71.01,10.29
43,Viedma,92,AR,1552707740,95,-40.81,-62.99,63.33,13.13
44,Kapaa,20,US,1552707948,61,22.08,-159.32,78.8,11.41
45,Georgetown,75,GY,1552705200,94,6.8,-58.16,75.2,4.7
46,Rikitea,68,PF,1552708004,100,-23.12,-134.97,77.91,24.87
47,Vanavara,76,RU,1552708005,82,60.35,102.28,35.16,6.98
48,Palu,56,ID,1552708006,68,-0.9,119.87,76.38,2.06
49,Ponta do Sol,68,BR,1552708007,95,-20.63,-46.0,67.02,2.73
50,Codrington,90,AU,1552707853,78,-28.95,153.24,73.4,4.7
51,Karratha,8,AU,1552708010,20,-20.74,116.85,105.18,13.69
52,Puerto Princesa,20,PH,1552705200,55,9.74,118.73,89.6,11.41
53,Den Helder,75,NL,1552707985,75,52.96,4.76,46.99,12.75
54,Barrow,92,AR,1552708013,96,-38.31,-60.23,64.05,14.25
55,Puerto Ayora,0,EC,1552707981,80,-0.74,-90.35,77.0,1.01
56,East London,0,ZA,1552705200,94,-33.02,27.91,68.0,2.24
57,Miracatu,92,BR,1552708017,98,-24.28,-47.45,68.46,1.95
58,Saint-Philippe,90,CA,1552707998,86,45.36,-73.48,43.0,17.22
59,Jamestown,0,AU,1552708020,83,-33.21,138.6,71.61,7.09
60,Port Alfred,92,ZA,1552707995,98,-33.59,26.89,71.01,8.55
61,Jalu,0,LY,1552708022,91,29.03,21.55,51.81,9.78
62,Butaritari,88,KI,1552708023,100,3.07,172.79,79.98,8.66
63,Ban Nahin,12,LA,1552708024,64,18.24,104.21,78.18,2.95
64,Launceston,8,AU,1552707939,46,-41.43,147.14,75.0,4.7
65,Lebu,12,ET,1552705200,67,8.96,38.73,57.2,6.93
66,Katherine,40,AU,1552705200,52,-14.47,132.26,93.2,6.93
67,Bluff,92,AU,1552708029,100,-23.58,149.07,69.36,4.52
68,Borger,48,NL,1552708028,70,52.92,6.79,45.0,6.93
69,Ilulissat,64,GL,1552704600,70,69.22,-51.1,1.4,4.7
70,Spasskoye,80,RU,1552708033,89,55.86,45.7,19.41,9.89
71,Yerbogachen,88,RU,1552708034,88,61.28,108.01,30.57,4.41
72,Half Moon Bay,1,US,1552707907,58,37.46,-122.43,60.01,6.93
73,Tazovskiy,48,RU,1552708027,84,67.47,78.7,5.37,6.53
74,Trofors,64,NO,1552706400,85,65.54,13.39,33.8,4.7
75,Wawa,8,NG,1552708039,69,9.9,4.41,70.53,2.51
76,Thinadhoo,68,MV,1552708040,100,0.53,72.93,79.71,2.62
77,Camacari,20,BR,1552705200,83,-12.7,-38.32,80.6,2.24
78,Airai,80,TL,1552707867,53,-8.93,125.41,81.51,1.16
79,Tuktoyaktuk,20,CA,1552705200,84,69.44,-133.03,-2.21,5.82
80,Lompoc,1,US,1552707765,62,34.64,-120.46,57.0,3.36
81,Upernavik,20,GL,1552708046,100,72.79,-56.15,-9.21,13.8
82,Walvis Bay,32,NA,1552705327,87,-22.95,14.51,61.0,9.17
83,Fresno,1,US,1552707983,58,36.74,-119.78,62.6,4.7
84,Cidreira,36,BR,1552708049,83,-30.17,-50.22,72.06,10.78
85,Atuona,12,PF,1552708051,100,-9.8,-139.03,82.41,13.8
86,Cayenne,75,GF,1552705200,94,4.94,-52.33,75.2,1.12
87,Kimbe,92,PG,1552708053,100,-5.56,150.15,77.28,8.32
88,Nago,0,IT,1552708024,93,45.88,10.89,46.0,3.36
89,College,75,US,1552707907,40,64.86,-147.8,41.0,4.7
90,Hobart,20,AU,1552707795,52,-42.88,147.33,73.0,12.75
91,Hilo,40,US,1552708043,69,19.71,-155.08,75.99,6.93
92,Silver City,1,US,1552707859,48,32.77,-108.28,46.99,8.05
93,Constitucion,75,MX,1552707617,16,23.99,-104.67,64.4,5.82
94,Hithadhoo,56,MV,1552708061,100,-0.6,73.08,83.94,3.96
95,Pimenta Bueno,8,BR,1552708062,95,-11.68,-61.19,73.95,2.17
96,Saskylakh,88,RU,1552708064,83,71.97,114.09,0.42,7.2
97,Nanortalik,36,GL,1552707824,99,60.14,-45.24,22.74,16.71
98,Juneau,90,US,1552704960,86,58.3,-134.42,39.2,14.99
99,San Andres,0,PH,1552708067,100,13.32,122.68,80.34,7.09
100,Haldibari,5,IN,1552703400,73,26.34,88.78,71.6,2.24
101,Belyy Yar,8,RU,1552705200,55,53.6,91.39,35.6,2.24
102,Porosozero,92,RU,1552708071,91,62.72,32.71,33.54,6.98
103,Salalah,40,OM,1552704600,73,17.01,54.1,77.0,8.05
104,Shu,12,KZ,1552708074,53,43.6,73.76,50.55,1.5
105,Gao,0,ML,1552708075,39,16.28,-0.04,69.54,4.52
106,Milverton,90,GB,1552708031,93,51.02,-3.26,52.0,21.92
107,Kavaratti,0,IN,1552708077,100,10.57,72.64,82.59,4.63
108,Baft,76,IR,1552708079,91,29.23,56.61,38.04,5.86
109,Melfort,75,CA,1552705200,79,52.87,-104.61,19.4,8.05
110,Alvorada,0,BR,1552708002,94,-30.0,-51.08,73.4,6.93
111,Castro,0,CL,1552705200,82,-42.48,-73.76,55.4,5.82
112,Thompson,5,CA,1552705200,70,55.74,-97.86,1.4,3.06
113,Pijijiapan,36,MX,1552708085,78,15.69,-93.21,74.58,1.83
114,Antofagasta,20,CL,1552705200,77,-23.65,-70.4,64.4,5.82
115,Clyde River,1,CA,1552705200,74,70.47,-68.59,-27.41,2.24
116,Hirado,40,JP,1552707810,100,33.32,129.49,54.0,10.29
117,Cherskiy,24,RU,1552708090,66,68.75,161.3,-14.97,2.95
118,Victoria,75,BN,1552705200,70,5.28,115.24,86.0,6.93
119,Fairmont,1,US,1552707984,80,40.64,-97.59,34.0,2.95
120,Hope,1,CA,1552708002,75,49.38,-121.43,48.0,1.72
121,Tokmak,0,UA,1552708095,83,47.26,35.7,27.06,4.85
122,Remanso,8,BR,1552708096,100,-9.62,-42.08,77.01,4.63
123,San Quintin,0,PH,1552708098,55,17.54,120.52,85.65,3.62
124,Kungurtug,0,RU,1552708099,44,50.6,97.53,34.44,3.96
125,Port Shepstone,0,ZA,1552708100,91,-30.74,30.45,71.61,8.43
126,Komsomolskiy,32,RU,1552708101,69,67.55,63.78,1.5,9.66
127,Apatity,92,RU,1552708102,78,67.57,33.4,23.37,3.96
128,Acapulco,5,MX,1552704600,88,16.86,-99.88,78.8,4.7
129,Komsomolets,88,RU,1552708105,93,52.77,41.29,28.5,13.8
130,Ozd,80,RO,1552707000,87,46.36,24.12,45.0,5.82
131,Leningradskiy,80,RU,1552708107,100,69.38,178.42,-9.39,18.05
132,Sitka,0,US,1552707993,56,37.17,-99.65,36.0,2.73
133,Bambous Virieux,40,MU,1552707843,88,-20.34,57.76,78.01,4.7
134,Camacha,20,PT,1552705200,82,33.08,-16.33,59.0,2.24
135,Narsaq,20,GL,1552704600,56,60.91,-46.05,14.0,3.18
136,Waipawa,64,NZ,1552707556,59,-39.94,176.59,79.0,4.0
137,Ucluelet,92,CA,1552707924,91,48.94,-125.55,48.0,1.95
138,Hofn,92,IS,1552708116,100,64.25,-15.21,37.41,20.18
139,Sangin,92,AF,1552708117,66,32.07,64.85,52.44,6.98
140,Tambovka,0,UA,1552708118,83,46.93,35.45,26.43,4.29
141,Moose Factory,90,CA,1552705200,72,51.26,-80.61,14.0,20.8
142,Tasiilaq,0,GL,1552704600,78,65.61,-37.64,14.0,3.36
143,Kulhudhuffushi,0,MV,1552708122,100,6.62,73.07,83.4,8.21
144,Athni,0,IN,1552708123,36,16.73,75.07,75.48,3.96
145,Kaitangata,0,NZ,1552708124,62,-46.28,169.85,66.21,12.01
146,Mar del Plata,0,AR,1552708057,97,-46.43,-67.52,55.59,6.76
147,Yulara,75,AU,1552705200,13,-25.24,130.99,93.2,9.17
148,Norman Wells,5,CA,1552705200,53,65.28,-126.83,23.0,3.36
149,Hasaki,75,JP,1552707276,54,35.73,140.83,55.4,14.99
150,Alofi,92,NU,1552705200,83,-19.06,-169.92,78.8,5.82
151,Khatanga,44,RU,1552708131,89,71.98,102.47,-6.96,5.64
152,Orange,64,AU,1552708066,72,-33.28,149.1,75.0,10.0
153,Tiznit,0,MA,1552708134,77,29.7,-9.73,58.47,2.17
154,Zyryanka,36,RU,1552708135,56,65.73,150.89,-5.61,3.29
155,Sao Joao da Barra,88,BR,1552708136,100,-21.64,-41.05,80.52,4.63
156,Ust-Kuyga,8,RU,1552708137,72,70.0,135.55,-11.28,2.62
157,Nikolskoye,75,RU,1552708136,86,59.7,30.79,36.0,11.18
158,Ballina,92,IE,1552708092,95,54.11,-9.15,52.0,10.0
159,Namatanai,76,PG,1552708141,99,-3.66,152.44,83.04,12.91
160,Cooma,75,AU,1552705200,52,-36.24,149.13,68.0,13.87
161,Krutinka,76,RU,1552708144,88,56.01,71.51,20.58,19.51
162,Vila Franca do Campo,40,PT,1552708113,77,37.72,-25.43,59.0,9.17
163,Miyako,75,JP,1552708135,66,33.63,130.94,57.99,9.17
164,Noumea,0,NC,1552705200,66,-22.28,166.46,89.6,10.29
165,Grand Gaube,40,MU,1552708143,88,-20.01,57.66,78.01,4.7
166,Saldanha,8,PT,1552708150,71,41.42,-6.55,30.48,3.06
167,Nador,0,MA,1552707000,76,35.17,-2.93,51.8,2.24
168,Poum,0,MK,1552708152,76,41.28,20.71,17.88,1.83
169,Kahului,40,US,1552707996,57,20.89,-156.47,80.6,13.87
170,Santa Maria,0,BR,1552705200,94,-29.69,-53.81,68.0,6.93
171,Saint George,0,GR,1552707811,86,39.45,22.34,44.01,2.73
172,Montepuez,0,MZ,1552708159,95,-13.13,39.0,67.74,4.85
173,Saint-Denis,90,FR,1552708113,76,48.94,2.36,51.8,13.87
174,Mahebourg,40,MU,1552708143,88,-20.41,57.7,78.01,4.7
175,Chuy,8,UY,1552708162,92,-33.69,-53.46,68.82,11.68
176,Petawawa,90,CA,1552708048,80,45.89,-77.27,34.0,11.41
177,Maceio,20,BR,1552705200,88,-9.67,-35.74,73.4,2.24
178,Touros,20,BR,1552705200,94,-5.2,-35.46,77.0,3.36
179,Shiyan,20,CN,1552707899,45,32.65,110.78,57.0,1.01
180,Coquimbo,75,CL,1552705200,87,-29.95,-71.34,59.0,2.24
181,Stromness,90,CA,1552708142,100,42.87,-79.55,37.99,10.29
182,Marsa Matruh,68,EG,1552708171,72,31.35,27.25,52.89,15.48
183,Huilong,92,CN,1552708172,87,28.89,110.18,51.63,3.18
184,Hovd,40,NO,1552708144,79,63.83,10.7,37.0,8.05
185,Doha,0,QA,1552705200,88,25.29,51.53,69.8,9.17
186,Aklavik,5,CA,1552705200,61,68.22,-135.01,12.2,8.05
187,Borogontsy,0,RU,1552708177,58,62.67,131.17,10.68,3.74
188,Los Llanos de Aridane,0,ES,1552708042,77,28.66,-17.92,60.8,6.93
189,Severo-Kurilsk,88,RU,1552708180,100,50.68,156.12,27.78,10.78
190,Chekmagush,12,RU,1552708181,86,55.14,54.65,17.61,2.95
191,Lodja,56,CD,1552708182,91,-3.52,23.6,75.12,4.63
192,Altus,1,US,1552706125,45,34.64,-99.33,48.2,4.7
193,Fez,0,MA,1552707000,77,34.03,-5.02,53.6,5.82
194,Torrington,1,US,1552707970,74,42.06,-104.18,32.0,4.7
195,Torbay,75,CA,1552707974,68,47.66,-52.73,33.01,16.11
196,Qaanaaq,24,GL,1552708188,100,77.48,-69.36,-20.19,8.88
197,Tevaitoa,76,PF,1552708189,100,-16.78,-151.5,82.59,5.97
198,Hokitika,92,NZ,1552708190,100,-42.72,170.96,62.79,8.21
199,Ruidoso,1,US,1552708113,54,33.33,-105.67,46.99,6.93
200,Ambilobe,12,MG,1552708193,99,-13.19,49.05,72.51,2.95
201,Flinders,40,AU,1552708030,53,-34.58,150.85,77.0,13.87
202,Pevek,0,RU,1552708195,81,69.7,170.27,-13.35,3.4
203,Esperance,20,TT,1552707930,88,10.24,-61.45,77.0,6.42
204,Almenara,36,BR,1552708198,76,-16.17,-40.69,76.02,2.73
205,Kamaishi,40,JP,1552705200,43,39.28,141.86,50.0,12.75
206,Vestmannaeyjar,80,IS,1552708200,100,63.44,-20.27,34.8,5.41
207,Bandarbeyla,92,SO,1552708201,100,9.49,50.81,77.1,4.74
208,Nome,1,US,1552708186,47,30.04,-94.42,57.0,5.19
209,Elizabethtown,1,US,1552707963,43,40.15,-76.6,55.4,21.92
210,Nabire,0,ID,1552708205,67,-3.36,135.5,83.22,2.39
211,Baculin,0,PH,1552708206,82,7.45,126.58,80.79,13.47
212,Kalemie,76,CD,1552708207,100,-5.95,29.2,72.24,11.45
213,Yar-Sale,64,RU,1552708209,81,66.83,70.83,10.05,10.67
214,Husavik,0,CA,1552708205,78,50.56,-96.99,17.01,5.01
215,Nantucket,90,US,1552708074,100,41.28,-70.1,51.8,21.92
216,Merrill,1,US,1552708173,36,42.03,-121.6,46.4,4.7
217,Yatou,75,CM,1552705200,100,3.63,9.81,78.8,2.24
218,Basco,1,US,1552708036,69,40.33,-91.2,37.99,11.41
219,Geraldton,90,CA,1552705200,85,49.72,-86.95,12.2,10.29
220,Umaria,0,IN,1552708217,70,23.52,80.84,68.55,4.18
221,Sisimiut,0,GL,1552708218,56,66.94,-53.67,-20.28,1.83
222,Chizhou,64,CN,1552708219,67,30.67,117.49,63.51,3.74
223,Jonkoping,88,SE,1552707948,100,57.78,14.16,36.0,3.36
224,Ulaanbaatar,0,MN,1552707000,37,47.92,106.92,37.4,2.24
225,Fairbanks,75,US,1552707954,40,64.84,-147.72,39.99,4.7
226,Lavrentiya,64,RU,1552708224,100,65.58,-170.99,16.35,18.05
227,Tongliao,24,CN,1552708225,67,43.61,122.27,37.41,11.45
228,Gandhidham,0,IN,1552708227,96,23.07,70.13,69.18,14.81
229,Teahupoo,75,PF,1552705383,83,-17.83,-149.27,80.6,12.75
230,Aranos,0,NA,1552708229,39,-24.14,19.11,72.06,10.22
231,Lepe,0,ES,1552708230,77,37.26,-7.2,52.53,1.05
232,Dingle,0,PH,1552708232,49,11.0,122.67,87.09,13.47
233,Sakaiminato,75,JP,1552705200,61,35.55,133.23,50.0,6.93
234,Ilorin,20,NG,1552708234,83,8.5,4.55,74.94,10.78
235,Dutse,0,NG,1552708235,25,11.76,9.34,73.32,11.45
236,Iqaluit,75,CA,1552707766,55,63.75,-68.52,8.6,8.05
237,Eyl,36,SO,1552708238,100,7.98,49.82,75.21,8.43
238,Lumsden,75,CA,1552708207,92,50.65,-104.86,26.01,5.82
239,Makakilo City,75,US,1552708231,61,21.35,-158.09,78.8,10.29
240,Mapiripan,20,CO,1552708241,94,2.89,-72.13,70.08,3.74
241,Gazanjyk,80,TM,1552708243,97,39.24,55.52,46.77,10.67
242,Pontes e Lacerda,0,BR,1552708244,87,-15.23,-59.33,75.21,3.74
243,Mastic Beach,75,US,1552708222,87,40.77,-72.85,57.0,9.17
244,Axim,20,GH,1552708247,98,4.87,-2.24,82.86,9.78
245,Kadyy,44,RU,1552708248,86,57.79,43.19,17.79,10.78
246,Nishihara,75,JP,1552708204,50,35.74,139.53,57.0,9.17
247,Alta Floresta,32,BR,1552708250,85,-9.87,-56.08,78.09,2.95
248,Taoudenni,0,ML,1552708252,18,22.68,-3.98,60.81,11.68
249,Kiama,40,AU,1552708250,53,-34.67,150.86,77.0,13.87
250,Firminy,90,FR,1552708170,93,45.39,4.29,46.4,4.7
251,Grand-Santi,76,GF,1552708255,77,4.27,-54.38,76.83,3.96
252,Gimli,0,CA,1552708244,78,50.63,-96.99,16.0,5.01
253,La Palma,88,CO,1552708258,97,5.36,-74.39,68.46,1.39
254,Faya,0,SA,1552705200,76,18.39,42.45,57.2,10.29
255,Carnarvon,12,ZA,1552708261,83,-30.97,22.13,60.0,5.86
256,Provideniya,8,RU,1552708262,100,64.42,-173.23,17.79,18.05
257,Pangnirtung,80,CA,1552708263,66,66.15,-65.72,-4.98,0.6
258,Hay River,40,CA,1552705200,79,60.82,-115.79,26.6,2.24
259,Sao Domingos,0,BR,1552708266,80,-13.4,-46.32,72.42,2.62
260,Iralaya,12,HN,1552708267,79,15.0,-83.23,79.98,8.55
261,Vega de Alatorre,48,MX,1552708268,92,20.03,-96.65,63.42,15.59
262,Nueva Concepcion,36,GT,1552708269,81,14.2,-91.3,70.62,2.84
263,Eston,40,CA,1552708255,86,51.15,-108.75,26.6,14.99
264,Berdigestyakh,20,RU,1552708272,62,62.1,126.7,8.79,3.85
265,Ginda,20,IN,1552705200,62,30.69,78.49,59.0,3.36
266,Souillac,90,FR,1552708269,93,45.6,-0.6,51.01,9.17
267,Bismarck,90,US,1552707995,86,46.81,-100.78,28.0,3.36
268,Dunmore Town,0,BS,1552708277,100,25.5,-76.65,74.4,12.01
269,Beloha,0,MG,1552708278,84,-25.17,45.06,68.46,8.1
270,Valparaiso,1,US,1552708027,64,41.47,-87.06,37.0,9.17
271,Itamaraca,40,BR,1552705200,74,-7.75,-34.83,82.4,6.93
272,Jos,8,NG,1552708282,40,9.92,8.9,62.16,6.2
273,Egvekinot,68,RU,1552708283,76,66.32,-179.17,-4.89,7.65
274,Talara,32,PE,1552708284,76,-4.58,-81.27,76.47,5.19
275,Karachi,20,PK,1552704900,35,24.87,67.03,71.6,9.17
276,Zhigansk,24,RU,1552708287,62,66.77,123.37,0.51,3.18
277,Ishim,80,RU,1552708171,88,56.11,69.47,20.49,19.51
278,Mount Gambier,12,AU,1552705200,41,-37.83,140.78,77.0,6.93
279,Slave Lake,1,CA,1552705200,62,55.28,-114.77,32.0,3.36
280,Petropavlovsk-Kamchatskiy,76,RU,1552705200,42,53.05,158.65,28.4,6.71
281,Casas Grandes,80,MX,1552708294,57,30.15,-110.24,55.68,2.17
282,Vardo,1,US,1552708158,50,39.62,-77.74,57.2,8.05
283,Kisangani,48,CD,1552708296,100,0.52,25.21,69.27,3.96
284,Pisco,75,PE,1552705200,83,-13.71,-76.2,71.6,11.41
285,Porto Belo,40,BR,1552708226,83,-27.15,-48.54,80.01,4.7
286,Nikki,0,BJ,1552708300,79,9.94,3.21,69.27,8.43
287,Svetlogorsk,0,RU,1552705200,85,53.14,59.15,10.4,2.24
288,Labytnangi,68,RU,1552708302,65,66.66,66.39,2.94,4.29
289,Astana,40,KZ,1552705200,92,51.13,71.43,14.0,13.42
290,Burnie,0,AU,1552708264,52,-41.05,145.91,75.0,13.0
291,Nelson Bay,90,AU,1552708241,94,-32.72,152.14,72.0,8.05
292,Klaksvik,24,FO,1552706400,98,62.23,-6.59,35.6,6.93
293,Hualmay,12,PE,1552708309,91,-11.1,-77.61,68.28,4.63
294,Caravelas,32,BR,1552708310,100,-17.73,-39.27,83.58,14.7
295,Moshny,8,UA,1552708311,85,49.52,31.74,31.38,11.9
296,Ahipara,68,NZ,1552708312,69,-35.17,173.16,76.38,7.2
297,Bayan,0,MN,1552708313,30,47.25,107.54,43.08,6.2
298,Madras,1,US,1552708242,64,44.63,-121.13,39.99,3.74
299,Kirakira,8,SB,1552708316,100,-10.46,161.92,84.84,5.97
300,Quatre Cocos,40,MU,1552708143,88,-20.21,57.76,78.01,4.7
301,Lorengau,68,PG,1552708318,97,-2.02,147.27,83.22,11.23
302,Naze,44,NG,1552708319,93,5.43,7.07,74.58,4.63
303,Marsh Harbour,0,BS,1552708321,100,26.54,-77.06,72.87,10.33
304,Cairns,44,AU,1552708220,62,-16.92,145.77,90.0,9.17
305,Cap Malheureux,40,MU,1552708143,88,-19.98,57.61,78.01,4.7
306,Bend,1,US,1552708146,64,44.06,-121.32,39.99,2.73
307,Kupang,90,ID,1552705200,78,-10.16,123.6,82.4,9.17
308,Nargana,88,PA,1552708327,100,9.44,-78.59,79.53,16.6
309,Pangkalanbuun,76,ID,1552708328,87,-2.68,111.62,82.86,6.53
310,Portland,75,US,1552708162,78,45.52,-122.67,54.0,12.75
311,Necochea,88,AR,1552708090,86,-38.55,-58.74,68.0,3.0
312,Zamora,8,ES,1552707799,80,41.51,-5.74,42.01,2.28
313,Abu Dhabi,0,AE,1552705200,68,24.47,54.37,69.8,11.41
314,Rocha,92,UY,1552708334,87,-34.48,-54.34,68.28,9.33
315,Wilmington,0,US,1552708115,41,39.75,-75.55,60.01,12.75
316,Iznik,75,TR,1552706400,100,40.43,29.72,36.0,1.12
317,Lata,0,IN,1552708338,65,30.78,78.62,41.01,2.17
318,Manacapuru,40,BR,1552705200,94,-3.3,-60.62,73.4,2.24
319,Calatayud,0,ES,1552707979,50,41.35,-1.64,51.8,4.7
320,Shar,48,NG,1552708342,89,7.3,8.73,74.58,7.43
321,Luderitz,64,NA,1552708343,96,-26.65,15.16,59.73,7.76
322,Snyder,1,US,1552708204,45,32.72,-100.92,45.0,6.93
323,Port Hardy,90,CA,1552705200,75,50.7,-127.42,46.4,14.99
324,Calella,0,ES,1552708297,100,41.62,2.67,55.0,0.6
325,Sylacauga,1,US,1552708277,76,33.17,-86.25,54.0,5.82
326,Sola,90,NO,1552708204,86,58.89,5.65,42.01,10.29
327,Conde,20,BR,1552708191,96,-11.81,-37.61,79.08,7.43
328,Morondava,32,MG,1552708351,100,-20.3,44.28,79.17,2.39
329,Saint-Georges,32,CA,1552707988,81,46.12,-70.67,41.0,10.0
330,Mandera,0,ET,1552707935,18,3.94,41.86,69.01,1.99
331,Linxia,32,CN,1552708074,54,35.6,103.21,39.21,3.62
332,Anahuac,1,US,1552708316,47,29.77,-94.68,59.0,4.63
333,Malya,0,TZ,1552708357,79,-2.98,33.52,63.42,7.31
334,Kushiro,75,JP,1552705200,90,43.11,144.15,32.0,5.82
335,Tres Picos,36,MX,1552708360,63,16.23,-93.58,77.01,6.53
336,Pingliang,0,CN,1552707991,40,35.54,106.68,46.0,3.96
337,Lasem,20,ID,1552703400,74,-6.99,112.52,84.2,3.36
338,Kushima,20,JP,1552707788,28,31.5,131.29,59.0,10.29
339,Paamiut,24,GL,1552708365,100,61.99,-49.67,21.84,4.18
340,Vila Velha,68,BR,1552708093,95,-3.71,-38.6,73.99,1.01
341,Krasnoarmeysk,90,RU,1552707629,86,56.12,38.15,28.99,11.18
342,Kibala,56,TD,1552705200,23,9.11,18.35,84.2,6.98
343,Tarauaca,56,BR,1552708077,93,-8.16,-70.77,75.84,2.51
344,Verkhnyaya Inta,8,RU,1552708371,60,65.99,60.32,1.32,3.62
345,Odesskoye,48,RU,1552708372,86,54.21,72.97,21.21,17.83
346,Waingapu,80,ID,1552708373,93,-9.65,120.26,79.26,4.74
347,Fort Nelson,40,CA,1552705200,34,58.81,-122.69,35.6,2.51
348,Motegi,75,JP,1552708177,34,36.52,140.19,54.0,11.41
349,Vanimo,12,PG,1552708377,98,-2.67,141.3,82.68,14.03
350,Ridgecrest,1,US,1552708271,20,35.62,-117.67,55.4,3.96
351,Kangaatsiaq,44,GL,1552708379,100,68.31,-53.46,4.92,0.94
352,Santa Lucia,0,IT,1552708381,77,39.93,9.66,52.89,11.79
353,Shitanjing,0,CN,1552708382,14,39.23,106.34,50.64,3.29
354,Labuhan,88,ID,1552708383,87,-2.54,115.51,78.54,2.95
355,Upington,0,ZA,1552705200,44,-28.46,21.24,78.8,1.12
356,Morwa,0,IN,1552708386,31,22.9,73.84,70.53,12.8
357,Chufarovo,92,RU,1552708387,92,54.09,47.33,21.57,9.22
358,Namibe,36,AO,1552708388,99,-15.19,12.15,79.26,5.97
359,Arona,8,IT,1552708384,57,45.76,8.56,53.01,8.05
360,Hambantota,0,LK,1552705800,74,6.12,81.12,84.2,8.05
361,Kattivakkam,40,IN,1552707222,70,13.22,80.32,84.2,2.24
362,Talnakh,44,RU,1552708393,91,69.49,88.39,0.78,4.07
363,Batesville,1,US,1552707973,33,35.77,-91.64,46.4,3.36
364,Berlevag,80,NO,1552708395,100,70.86,29.09,28.41,6.53
365,Kiruna,20,SE,1552704600,92,67.86,20.23,17.6,2.24
366,Russell,0,AR,1552705200,68,-33.01,-68.8,64.4,3.36
367,Honolulu,40,US,1552708391,61,21.3,-157.86,78.8,13.87
368,Gizo,40,IL,1552708396,76,31.8,34.94,55.4,10.29
369,Laguna,0,MX,1552708391,43,27.52,-110.01,63.24,2.95
370,Dinar,75,TR,1552706400,80,38.07,30.16,39.2,12.75
371,Ancud,0,CL,1552705200,82,-41.87,-73.83,55.4,5.82
372,Shimoda,75,JP,1552708211,66,34.7,138.93,61.0,3.36
373,Terrace,75,CA,1552707102,93,54.52,-128.61,37.4,1.72
374,La Tuque,88,CA,1552708408,97,47.44,-72.79,36.96,6.42
